  TidValueString;2;4;5;11;0;2;4;11;0;4;11;0;2;4;11;0;2;4;11;0;2;4;11;0;2;4;11;0;2;4;11;0;2;4;11;0;2;4;11;0;2;4;11;0;2;4;11;0;2;4;11;0;2;4;11;0;2;4;11;0;2;4;0;2;11;0;2;4;11
  Description;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0
TX Totals:
  CurrLatencyRange;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
RX Jitter:
  AggrMinJitter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  AggrAvgJitter;0;0;0;0;2;1;0;0;2;0;0;2;1;0;0;2;1;0;0;2;1;0;0;3;1;0;0;3;1;0;0;2;1;0;0;3;1;0;0;3;1;0;0;3;1;0;0;3;1;0;0;3;1;0;0;3;1;0;0;3;1;0;2;1;0;3;1;0;0
  AggrMaxJitter;12628;14745;12844;4714;16092;15683;22202;16020;13253;22202;13879;16188;15755;22202;15923;16164;15755;22178;15923;16068;15683;22274;15923;16741;16356;27325;15106;16862;16356;27349;15178;16837;16356;27325;15178;16886;16645;27325;15202;16477;16260;27494;16308;16477;16332;27494;16405;16549;16332;27469;16405;16549;16308;27445;16477;16621;16429;27349;16429;16645;16429;15931;4834;4377;16429;16645;16164;27437;16429
  AggrJitterRange;12628;14745;12844;4714;16092;15683;22202;16020;13253;22202;13879;16188;15755;22202;15923;16164;15755;22178;15923;16068;15683;22274;15923;16741;16356;27325;15106;16862;16356;27349;15178;16837;16356;27325;15178;16886;16645;27325;15202;16477;16260;27494;16308;16477;16332;27494;16405;16549;16332;27469;16405;16549;16308;27445;16477;16621;16429;27349;16429;16645;16429;15931;4834;4377;16429;16645;16164;27437;16429
  CurrMinJitter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  CurrAvgJitter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  CurrMaxJitter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  CurrJitterRange;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
